Country Name,Country Code,Continent,Control of Corruption,Government Effectiveness,Regulatory Quality,Voice and Accountability,GDP Per Capita
Peru,PER,South America,-0.35,-0.17,0.51,0.28,6049.23
Philippines,PHL,Asia,-0.53,-0.01,0.00,0.14,2951.07
Poland,POL,Europe,0.75,0.69,0.95,0.84,12414.10
Portugal,PRT,Europe,0.96,1.22,0.84,1.17,19838.03
Puerto Rico,PRI,North America,0.04,0.38,0.95,0.40,30790.10
Qatar,QAT,Asia,0.92,0.75,0.70,-1.20,59324.34
Romania,ROU,Europe,0.00,-0.17,0.59,0.51,9522.77
Russian Federation,RUS,Europe,-0.86,-0.22,-0.42,-1.21,8748.37
Rwanda,RWA,Africa,0.69,0.11,0.11,-1.21,702.84
Samoa,WSM,Oceania,0.28,0.54,-0.10,0.76,4030.01
Sao Tome and Principe,STP,Africa,-0.06,-0.68,-0.81,0.45,1714.68
Saudi Arabia,SAU,Asia,0.23,0.24,0.08,-1.78,20028.65
Senegal,SEN,Africa,-0.03,-0.47,-0.14,0.37,952.77
Serbia,SRB,Europe,-0.31,0.09,0.06,0.21,5426.20
Seychelles,SYC,Africa,0.79,0.36,-0.26,0.16,15075.72
Sierra Leone,SLE,Africa,-0.82,-1.20,-0.93,-0.13,505.20
Singapore,SGP,Asia,2.07,2.21,2.18,-0.28,52962.49
Slovak Republic,SVK,Europe,0.24,0.89,0.89,0.94,16529.54
Slovenia,SVN,Europe,0.80,1.12,0.64,1.00,21650.21
Solomon Islands,SLB,Oceania,-0.34,-0.99,-0.96,0.49,2005.48
Somalia,SOM,Africa,-1.69,-2.18,-2.27,-1.83,434.21
South Africa,ZAF,Africa,0.05,0.27,0.21,0.64,5274.55
Spain,ESP,Europe,0.52,1.12,1.01,1.06,26616.49
Sri Lanka,LKA,Asia,-0.28,-0.21,-0.10,-0.11,3909.99
St. Kitts and Nevis,KNA,North America,0.52,0.14,0.37,1.07,16596.83
St. Lucia,LCA,North America,0.63,0.01,0.29,1.09,9364.82
St. Vincent and the Grenadines,VCT,North America,0.68,0.21,0.28,1.04,7006.60
Sudan,SDN,Africa,-1.61,-1.41,-1.49,-1.80,2415.04
Suriname,SUR,South America,-0.32,-0.34,-0.63,0.46,5871.44
Swaziland,SWZ,Africa,-0.44,-0.56,-0.58,-1.42,2770.20
Sweden,SWE,Europe,2.22,1.79,1.85,1.50,51844.76
Switzerland,CHE,Europe,2.05,2.03,1.91,1.46,79887.52
Tajikistan,TJK,Asia,-1.07,-1.02,-1.09,-1.67,795.84
Tanzania,TZA,Africa,-0.51,-0.55,-0.44,-0.18,877.51
Thailand,THA,Asia,-0.40,0.34,0.17,-1.10,5910.62
Timor-Leste,TLS,Asia,-0.51,-1.03,-0.98,0.24,1405.39
Togo,TGO,Africa,-0.68,-1.08,-0.79,-0.51,578.46
Tonga,TON,Oceania,-0.44,-0.29,-0.41,0.67,3748.64
Trinidad and Tobago,TTO,North America,-0.26,0.22,0.09,0.60,16040.52
Tunisia,TUN,Africa,-0.12,-0.21,-0.47,0.33,3688.65
Turkey,TUR,Europe,-0.20,0.05,0.20,-0.63,10862.60
Turkmenistan,TKM,Asia,-1.46,-1.14,-2.09,-2.13,6389.33
Tuvalu,TUV,Oceania,0.03,-0.93,-0.59,1.09,3083.62
Uganda,UGA,Africa,-1.06,-0.57,-0.21,-0.71,580.38
Ukraine,UKR,Europe,-0.84,-0.58,-0.43,0.02,2185.73
United Arab Emirates,ARE,Asia,1.28,1.41,0.97,-1.12,37622.21
United Kingdom,GBR,Europe,1.88,1.61,1.76,1.24,40367.04
United States,USA,North America,1.33,1.48,1.50,1.10,57638.16
Uruguay,URY,South America,1.32,0.55,0.49,1.18,15220.57
Uzbekistan,UZB,Asia,-1.20,-0.60,-1.62,-1.89,2110.67
Vanuatu,VUT,Oceania,-0.10,-0.88,-0.29,0.69,2860.57
Vietnam,VNM,Asia,-0.40,0.01,-0.45,-1.41,2170.65
West Bank and Gaza,PSE,Asia,-0.15,-0.62,0.06,-1.17,2943.40
"Yemen, Rep.",YEM,Asia,-1.67,-1.82,-1.48,-1.65,990.33
Zambia,ZMB,Africa,-0.40,-0.66,-0.48,-0.30,1269.57
Zimbabwe,ZWE,Africa,-1.28,-1.16,-1.72,-1.11,1029.08
