"Date","FX_Implied_Vol","FX_25_Delta_Rate","CDS","BIST100_Vol","Benchmark_Rate_Vol","FCI"
2018-01-05,-0.562521479494786,-0.598058878143601,-0.935665879324632,-0.0412227275986431,-0.0218262949047155,-2.15929525946638
2018-01-08,-0.595392282545963,-0.633346391188154,-0.936428611673398,-0.0964051900939611,-0.078277478520941,-2.33984995402242
2018-01-09,-0.6289806395099,-0.649052394103937,-0.931267997058344,-0.0588286224292565,-0.0692162473938239,-2.33734590049526
2018-01-10,-0.635643640128381,-0.652213992093478,-0.922553374265,0.0864767303956073,-0.0492006026131622,-2.17313487870441
2018-01-11,-0.635506963192618,-0.644055029539824,-0.924095067310377,0.0882509238403846,-0.0492006026131622,-2.1646067388156
2018-01-12,-0.617568115373628,-0.636915937305377,-0.935974217933707,0.016394452608408,-0.0692471119193145,-2.24331092992362
2018-01-15,-0.612237714878843,-0.63875170387995,-0.947041951164733,0.0340262725806401,-0.0892627566999763,-2.25326785404286
2018-01-16,-0.59088194366576,-0.59938470955857,-0.946555100729351,-0.0216297599432426,-0.0892627566999763,-2.2477142705969
2018-01-17,-0.579606096465252,-0.561037585556397,-0.934205328018485,-0.00255144992007585,-0.0712470121253642,-2.14864747208557
2018-01-18,-0.571747172658837,-0.533603073969736,-0.923023996352536,-0.101090648215461,-0.0658464050693345,-2.1953112962659
2018-01-19,-0.564059095022128,-0.537784542278483,-0.910771593728746,-0.00397199882379614,-0.0604457980133048,-2.07703302786646
2018-01-22,-0.562897341068136,-0.535336853512387,-0.909603152683829,-0.0359010812186954,-0.0784615425879168,-2.12219997107096
2018-01-23,-0.553398294032557,-0.526973916894892,-0.908840420335063,-0.089052092216418,-0.0748267303465876,-2.15309145382552
2018-01-24,-0.555106755729603,-0.525648085479923,-0.916354145387797,-0.211399827357968,-0.0657706665268432,-2.27427948048214
2018-01-25,-0.542771662276927,-0.53727460711888,-0.91555895634334,-0.152528544877426,-0.0566445441786228,-2.2047783147952
2018-01-26,-0.538056307993078,-0.538294477438087,-0.916289231996413,-0.175044793952023,-0.0308932492423704,-2.19857806062197
2018-01-29,-0.528659768659322,-0.536458710863515,-0.910771593728746,-0.0467764248110369,-0.0344154604966071,-2.05708195855923
2018-01-30,-0.520117460174089,-0.51606130447938,-0.904020601024777,-0.0615777411575633,-0.0380869697182375,-2.03986407655405
2018-01-31,-0.515538782826004,-0.50392484768082,-0.89970386049772,-0.0323986387365896,-0.0655444880194797,-2.01711061776061
2018-02-01,-0.52749801470533,-0.5008652367232,-0.908791735291525,-0.078040438555112,-0.0634611193032335,-2.0786565445784
2018-02-02,-0.540516492836825,-0.505964588319234,-0.913189617557812,-0.0262884481672395,-0.0576422871761395,-2.04360143405725
2018-02-05,-0.542224954533872,-0.498009599829421,-0.911274672511975,0.0319821206176825,-0.0649714831085085,-1.98449858936609
2018-02-06,-0.524286106714882,-0.481079752530589,-0.898957356496801,-0.0418512465382674,-0.0307915141581719,-1.97696597643871
2018-02-07,-0.517691444564282,-0.470983036370443,-0.900645104672793,-0.095359523393952,-0.042064959411856,-2.02674406841333
2018-02-08,-0.497189904199723,-0.454665111263135,-0.890843182573761,-0.0231110564370387,0.0254147906078163,-1.84039446386584
2018-02-09,-0.471187117170673,-0.43273789940019,-0.869227023242784,-0.00380092610522677,0.0134678944779315,-1.76348507144094
2018-02-12,-0.440844837431125,-0.414176259590628,-0.851830234351787,-0.0696494937256927,0.0134678944779315,-1.7630329306213
2018-02-13,-0.439990606582602,-0.406221271100816,-0.839220808075383,-0.160925049980341,-0.0339343863756557,-1.8802921221148
2018-02-14,-0.463874901107314,-0.407139154388102,-0.846263911040582,-0.0411704837872641,-0.0456030511973924,-1.80405150152065
2018-02-15,-0.489604334264836,-0.406425245164657,-0.851035045307329,-0.0469907859654941,-0.0456030511973924,-1.83965846189971
2018-02-16,-0.51393282883078,-0.415400103973676,-0.879953961169042,-0.0499937746915367,-0.00269883274715433,-1.86197950141219
2018-02-19,-0.534400199961398,-0.418459714931296,-0.904685963286467,-0.0909015984957922,-0.0187773684862274,-1.96722484516118
2018-02-20,-0.546291093372843,-0.425904768261506,-0.907428554072454,0.160632256890091,-0.0187773684862274,-1.73776952730294
2018-02-21,-0.556200171215713,-0.431004119857539,-0.903436380502319,0.112048283839047,-0.0817590561025505,-1.86035144383907
2018-02-22,-0.566895141439225,-0.444262434007227,-0.8939914820559,0.0390701142125922,-0.0275531303469389,-1.8936320736367
2018-02-23,-0.588763451161422,-0.449973707794784,-0.894056395447285,-0.178993106157122,-0.0275531303469389,-2.13933979090755
2018-02-26,-0.605779729664006,-0.45537902048658,-0.892871726054521,-0.195904753050582,-0.0275531303469389,-2.17748835960263
2018-02-27,-0.622864346634473,-0.462620099752948,-0.896247222406506,-0.210095811508596,-0.0892627566999763,-2.2810902370025
2018-02-28,-0.630859947376651,-0.469351243859712,-0.902981986762628,-0.234257248109549,-0.0573720291609175,-2.29482245526946
2018-03-01,-0.636053670935673,-0.472920789976936,-0.898227080843727,-0.13975853674574,-0.0128095967048785,-2.15976967520695
2018-03-02,-0.638616363481243,-0.473226751072698,-0.885439142741017,-0.0990758107066826,-0.0053591138421862,-2.10171718184383
2018-03-05,-0.646816979627066,-0.468433360572426,-0.877016630208902,-0.0718666379166215,-0.037249841381245,-2.10138344970626
2018-03-06,-0.658707873038511,-0.477102258285683,-0.880164929691041,-0.0978194878277484,-0.050419838916023,-2.16421438775901
2018-03-07,-0.680063644251594,-0.49025858540345,-0.89059975735607,-0.151773675997137,-0.0320781786496061,-2.24477384165786
