"Date","Predictions","Actual"
2019-10-01,0.300350233480672,0.230356129910381
2019-10-02,-0.0280371377700095,-0.0425408773644387
2019-10-03,0.00191740342869831,0.362788938028902
2019-10-04,0.436890336647142,0.382032942180976
2019-10-07,0.140795169663991,-0.163796862894283
2019-10-08,0.346299233965118,-0.702590073907783
2019-10-09,0.0884367374183594,0.282016523187667
2019-10-10,-0.00703154730084796,0.310249783389116
2019-10-11,0.304625012184675,0.456892304231649
2019-10-14,0.168733965238734,-1.05853082497425
2019-10-15,0.556788079998356,1.71441388555755
2019-10-16,0.276066772971713,-1.8296700914499
2019-10-17,-0.0740352326724179,-0.00336742470193885
2019-10-18,1.21817084950179,3.69854524252438
2019-10-21,-0.151808582627419,0.112878744309564
2019-10-22,0.176761633073624,0.212568328469853
2019-10-23,0.499533051145968,0.932683573073922
2019-10-24,0.428342548071706,0.663495453632579
2019-10-25,0.451009001620271,-0.073276726323146
2019-10-28,0.857373631261378,0.16912477504829
2019-10-30,0.421945952252319,-0.918925903185452
2019-10-31,0.33586805718686,0.231112887231122
2019-11-01,0.215929262468303,0.224609855007474
2019-11-04,0.416435179181072,0.817273703461208
2019-11-05,0.391764243623105,0.0586585036996157
2019-11-06,0.330505540770507,0.146301449226915
2019-11-07,0.571051996244089,0.660970219214763
2019-11-08,0.0844069124142701,-0.0947613269096981
2019-11-11,0.257423437670185,-0.224413784545685
2019-11-12,0.14408468058798,0.323744104839419
2019-11-13,0.232315352245922,0.074615984478954
2019-11-14,-0.024862910905476,-0.497251788593489
2019-11-15,0.337596697098986,0.669017267006988
2019-11-18,0.0954444179952473,0.496034767983322
2019-11-19,0.336761050752118,0.328004239365409
2019-11-20,-0.196355683001442,-0.175041672603049
2019-11-21,0.153114620678829,0.0167251829562786
2019-11-22,0.231447491927202,0.284349451150323
2019-11-25,0.209724739296249,0.567359997207939
2019-11-26,0.0289762878512423,0.1761867984305
2019-11-27,0.319534868233814,-0.0446486110903921
2019-11-28,0.295558046197304,0.227211380655157
2019-11-29,0.316079270239401,0.162359938532286
2019-12-02,0.466767604704236,0.417600217317138
