"Date","Index"
2017-12-01,96.7247274691145
2017-12-04,97.7769163484878
2017-12-05,98.7340719850829
2017-12-06,98.7501699563993
2017-12-07,98.6724058731603
2017-12-08,99.301375222114
2017-12-11,99.3388639551783
2017-12-12,99.2867648643567
2017-12-13,99.814666710146
2017-12-14,98.0525215470814
2017-12-15,98.6052509340477
2017-12-18,99.1613823551973
2017-12-19,98.8833053445183
2017-12-20,99.1882567091048
2017-12-21,99.5040697917406
2017-12-22,99.7978196094882
2017-12-25,99.9638062130652
2017-12-26,99.9902384271922
2017-12-27,99.8300529801197
2017-12-28,100.859782302082
2017-12-29,99.9255932863731
2018-01-01,100
2018-01-02,99.7159309202472
2018-01-03,99.1644145239603
2018-01-04,99.9062063531825
2018-01-05,100.306448026241
2018-01-08,100.525439426006
2018-01-09,100.113557197843
2018-01-10,99.0289435985108
2018-01-11,99.2230097959229
2018-01-12,99.3516214656029
2018-01-15,97.7044085776008
2018-01-16,97.9865805804342
2018-01-17,97.5167165520338
2018-01-18,98.5609948084572
2018-01-19,97.6641550113324
2018-01-22,98.5265092833646
2018-01-23,98.8400173511775
2018-01-24,98.8233192683783
2018-01-25,98.306011409636
2018-01-26,98.219055456718
2018-01-29,97.4922175739865
2018-01-30,98.086747920759
2018-01-31,98.5165360598557
2018-02-01,98.6276084223387
2018-02-02,98.1474873805033
2018-02-05,98.1325703258294
2018-02-06,98.5134924587554
2018-02-07,98.1259326811767
2018-02-08,98.2915415215912
2018-02-09,98.3730223446601
2018-02-12,98.6408070038125
2018-02-13,98.2168422690651
2018-02-14,98.295329031093
2018-02-15,98.3804891481828
2018-02-16,99.0678653491531
2018-02-19,98.8847081303431
2018-02-20,98.3079120886729
2018-02-21,98.8610763460567
2018-02-22,98.7281404922072
2018-02-23,98.4614507650037
2018-02-26,98.549375819258
2018-02-27,98.3081503045559
2018-02-28,98.9220557976149
2018-03-01,98.6656140688264
2018-03-02,98.4822245053419
2018-03-05,98.3054391318483
2018-03-06,98.4592284590518
2018-03-07,98.3746699107013
2018-03-08,98.2374798054808
2018-03-09,98.3930728704088
2018-03-12,97.4872984638021
2018-03-13,96.5844240946896
2018-03-14,96.3851875318155
2018-03-15,96.3969406448464
2018-03-16,95.7842448736981
2018-03-19,95.4316444813114
2018-03-20,95.7882132612291
2018-03-21,95.9475981053115
2018-03-22,95.6315236924906
2018-03-23,94.2133459108602
2018-03-26,94.0818488704464
2018-03-27,93.8404959826745
2018-03-28,93.3526711201026
2018-03-29,94.8279689291408
2018-03-30,94.4148448143501
2018-04-02,94.1131108256484
2018-04-03,93.7396825685811
2018-04-04,93.5246752494058
2018-04-05,92.4321496085212
2018-04-06,92.6208725025686
2018-04-09,91.9473968929325
2018-04-10,90.8053776255574
2018-04-11,90.1587701612426
2018-04-12,90.8096693759048
2018-04-13,91.0204636332983
2018-04-16,91.0243047569298
2018-04-17,90.981196717203
2018-04-18,92.8961233886765
2018-04-19,92.4893332022988
2018-04-20,92.0644632499272
2018-04-23,92.1508889947565
2018-04-24,92.4453752935184
2018-04-25,93.0623827086459
2018-04-26,93.4990508045691
2018-04-27,93.788272308961
2018-04-30,93.752019988834
2018-05-01,93.2820954090671
2018-05-02,92.1724641060349
2018-05-03,91.6062115469624
2018-05-04,91.2863398323363
2018-05-07,90.8237426224366
2018-05-08,89.9916847415073
2018-05-09,91.1600546548683
2018-05-10,91.6521627121965
2018-05-11,90.1992543748396
2018-05-14,89.970039315911
2018-05-15,88.7469176121007
2018-05-16,89.336152644487
2018-05-17,88.6965299864291
2018-05-18,88.4838769379811
2018-05-21,86.6010432822612
2018-05-22,84.5264534092497
2018-05-23,86.6372165097645
2018-05-24,84.1735523931731
2018-05-25,84.2715961267035
2018-05-28,86.8244298064938
2018-05-29,87.9420362158468
2018-05-30,89.1181675806531
2018-05-31,87.9851539307884
2018-06-01,85.6353603825105
2018-06-04,86.5522153245185
2018-06-05,86.5670193924432
2018-06-06,87.1591107292556
2018-06-07,88.8745630570837
2018-06-08,88.9371678535535
2018-06-11,88.3123241886243
2018-06-12,87.0225296589207
2018-06-13,86.1190274732831
2018-06-14,85.8893047860999
2018-06-15,85.7450624185032
2018-06-18,86.1822954196559
2018-06-19,85.7741591779061
2018-06-20,85.9195491036043
2018-06-21,86.1396397609901
2018-06-22,86.4515644549178
2018-06-25,86.5092323478818
2018-06-26,87.9829058868626
2018-06-27,88.4884364742807
2018-06-28,89.3822733478057
2018-06-29,89.3774483643125
2018-07-02,89.0307577840011
2018-07-03,87.5117052506488
2018-07-04,87.6063691475476
2018-07-05,88.9430824405432
2018-07-06,88.9648249852467
2018-07-09,85.752256754863
2018-07-10,85.9749801681715
2018-07-11,83.4186899039647
2018-07-12,83.5500511203939
2018-07-13,83.4457302957996
2018-07-16,83.5604265225195
2018-07-17,84.4241706190281
2018-07-18,84.7713256896428
2018-07-19,84.9718292951864
2018-07-20,84.6409422929941
2018-07-23,85.7632948868381
2018-07-24,82.9775656363107
2018-07-25,84.4906546090163
2018-07-26,83.1503964271153
2018-07-27,83.1381123469471
2018-07-30,82.4145883114753
2018-07-31,82.0652298854907
2018-08-01,80.8162422401017
2018-08-02,79.9606088733449
2018-08-03,79.5286587042636
2018-08-06,75.9619382890417
2018-08-07,77.0517039470693
2018-08-08,76.7426084160209
2018-08-09,73.4626548843788
2018-08-10,64.0847937515849
2018-08-13,60.5571603619879
2018-08-14,65.3534206293123
2018-08-15,69.8929479237513
2018-08-16,71.3898873340707
2018-08-17,69.052899414707
2018-08-20,68.2740007044589
