date,Number
03/01/2017,8712.865679
06/01/2017,8689.663194
07/01/2017,8658.726546
09/01/2017,8620.055738
11/01/2017,8569.783686
11/01/2017,8542.71412
12/01/2017,8519.511634
13/01/2017,8496.309149
15/01/2017,8449.904178
17/01/2017,8415.10045
18/01/2017,8380.296722
21/01/2017,8353.227156
25/01/2017,8416.389477
23/01/2017,8380.296722
23/01/2017,8357.094237
28/01/2017,8442.170017
28/01/2017,8413.811424
30/01/2017,8391.897965
31/01/2017,8364.828399
31/01/2017,8337.758833
02/02/2017,8299.088024
03/02/2017,8256.550134
03/02/2017,8233.347649
04/02/2017,8194.67684
05/02/2017,8167.607274
07/02/2017,8135.3816
08/02/2017,8101.866899
08/02/2017,8073.508305
09/02/2017,8043.860685
11/02/2017,8024.525281
11/02/2017,7985.854472
14/02/2017,7965.23004
18/02/2017,7949.761717
20/02/2017,7939.449501
23/02/2017,7872.420099
25/02/2017,7844.061506
27/02/2017,7807.968751
01/03/2017,7784.766266
03/03/2017,7753.829619
03/03/2017,7728.049079
06/03/2017,7672.62092
08/03/2017,7637.817192
09/03/2017,7614.614707
12/03/2017,7588.834167
14/03/2017,7622.348868
15/03/2017,7657.152596
18/03/2017,7705.491107
20/03/2017,7684.222163
22/03/2017,7645.551354
25/03/2017,7614.614707
25/03/2017,7591.412221
28/03/2017,7568.209736
30/03/2017,7575.943898
31/03/2017,7552.741412
03/04/2017,7529.538927
05/04/2017,7511.492549
08/04/2017,7514.070603
08/04/2017,7487.001037
10/04/2017,7456.06439
13/04/2017,7428.994824
16/04/2017,7421.260662
17/04/2017,7456.06439
18/04/2017,7514.070603
21/04/2017,7593.990275
20/04/2017,7545.007251
21/04/2017,7568.209736
25/04/2017,7591.412221
28/04/2017,7591.412221
02/05/2017,7591.412221
06/05/2017,7591.412221
07/05/2017,7572.076817
09/05/2017,7537.273089
12/05/2017,7514.070603
13/05/2017,7490.868118
15/05/2017,7545.007251
14/05/2017,7514.070603
17/05/2017,7581.100005
18/05/2017,7637.817192
18/05/2017,7606.880545
19/05/2017,7676.488001
20/05/2017,7622.348868
21/05/2017,7593.990275
22/05/2017,7560.475574
22/05/2017,7529.538927
23/05/2017,7501.180334
23/05/2017,7467.665633
23/05/2017,7436.728986
25/05/2017,7405.792339
25/05/2017,7374.855691
25/05/2017,7343.919044
26/05/2017,7316.849478
28/05/2017,7276.889642
28/05/2017,7248.531049
31/05/2017,7292.357966
04/06/2017,7361.320908
03/06/2017,7320.716559
03/06/2017,7297.514074
05/06/2017,7409.659419
07/06/2017,7456.06439
09/06/2017,7519.226711
08/06/2017,7483.133956
10/06/2017,7575.943898
09/06/2017,7545.007251
